 ID ; Konzert_Kategorie ;Konzert_Prod; Konzert_VerkaufteTickets ; Konzert_VenueOrt ;Konzert_Artist;Konzert_Datum;Venue_Flaeche;Venue_StromErneuerbar;Venue_StromKonventiell;Venue_Heizoel;Venue_Erdgas;Venue_Biogas;Venue_Holzenergie;Venue_Solarthermie;Venue_Fernwaerme;Venue_Fernkaelte;Venue_KuehlungKaeltemittel;Venue_NennleistungKuehlungKaeltemittel;Venue_DieselGeneratoren;Konzert_AnzahlBesucher;Mob_Besucher_DurchschnittOEV_km;Mob_Besucher_AnteilOEV;Mob_Besucher_TotalOEV_km;Mob_Besucher_DurchschnittPKW_km;Mob_Besucher_AnteilPKW;Mob_Besucher_TotalPKW;Mob_MALocalCrew_Anzahl;Mob_MALocalCrew_DurchschnittOEV_km;Mob_MALocalCrew_AnteilOEV;Mob_MALocalCrew_TotalOEV_km;Mob_MARigger_Anzahl;Mob_MARigger_DurchschnittOEV_km;Mob_MARigger_AnteilOEV;Mob_MARigger_TotalOEV_km;Mob_MAGastro_Anzahl;Mob_MAGastro_DurchschnittOEV_km;Mob_MAGastro_AnteilOEV;Mob_MAGastro_TotalOEV_km;Mob_MASecurity_Anzahl;Mob_MASecurity_DurchschnittOEV_km;Mob_MASecurity_AnteilOEV;Mob_MASecurity_TotalOEV_km;Mob_MA_TotalOEV_km;Mob_MALocalCrew_DurchschnittPKW_km;Mob_MALocalCrew_AnteilPKW;Mob_MALocalCrew_TotalPKW_km;Mob_MARigger_DurchschnittPKW_km;Mob_MARigger_AnteilPKW;Mob_MARigger_TotalPKW_km;Mob_MAGastro_DurchschnittPKW_km;Mob_MAGastro_AnteilPKW;Mob_MAGastro_TotalPKW_km;Mob_MASecurity_DurchschnittPKW_km;Mob_MASecurity_AnteilPKW;Mob_MASecurity_TotalPKW_km;Mob_MA_TotalPKW_km;Mob_Artist_Anzahl;Mob_Artist_Bus_km;Mob_Artist_AnzahlBus;Mob_Artist_AnteilOEV;Mob_Artist_TotalBus;Mob_Artist_TotalKurzstreckenFluege;Mob_Artist_TotalMittelstreckenFluege;Mob_Artist_TotalLangstreckenFluege;Mob_Artist_TotalHotel2_3Stern;Mob_Artist_TotalHotel4Stern;Mob_Artist_TotalHotel5Stern;Trans_Artist_VanLieferwagenMenge;Trans_Artist_VanLieferwagenDistanz;Trans_MALocal_VanLieferwagenMenge;Trans_MALocal_VanLieferwagenDistanz;Trans_Artist_LKW_16_32t_Menge;Trans_Artist_LKW_16_32t_Distanz;Trans_MALocal_LKW_16_32t_Menge;Trans_MALocal_LKW_16_32t_Distanz;Trans_Artist_LKW_40t_Menge;Trans_Artist_LKW_40t_DistanzKm;Trans_Artist_LKW_40t_DistanzTotal;Trans_MALocal_LKW_40t_Menge;Trans_MALocal_LKW_40t_DistanzKM;Trans_MALocal_LKW_40t_DistanzTotal;Trans_NA_BahnMenge;Trans_NA_BahnDistanz;Trans_NA_FrachtschiffMenge;Trans_NA_FrachtschiffDistanz;Trans_NA_LuftfrachtMenge;Trans_NA_LuftfrachtDistanz;Verp_Besucher_MineralwasserSoftdrinks;Verp_MALocal_MineralwasserSoftdrinks;Verp_Artist_MineralwasserSoftdrinks;Verp_Besucher_KaffeeTassen;Verp_MALocal_KaffeeTassen;Verp_Artist_KaffeeTassen;Verp_Besucher_TeeTassen;Verp_MALocal_TeeTassen;Verp_Artist_TeeTassen;Verp_Besucher_Bier;Verp_MALocal_Bier;Verp_Artist_Bier;Verp_Besucher_Wein;Verp_MALocal_Wein;Verp_Artist_Wein;Verp_Besucher_Spirituosen;Verp_MALocal_Spirituosen;Verp_Artist_Spirituosen;Verp_Besucher_MahlzeitenNichtVeg;Verp_MALocal_MahlzeitenNichtVeg;Verp_Artist_MahlzeitenNichtVeg;Verp_Besucher_MahlzeitenVeg;Verp_MALocal_MahlzeitenVeg;Verp_Artist_MahlzeitenVeg;Verp_Besucher_Snacks;Verp_MALocal_Snacks;Verp_Artist_Snacks;Mat_Venue_Merchandising;Mat_Venue_Leitungswasser;Mat_Venue_Kunststoffe;Mat_Venue_RecyclierbareMaterialien;Mat_Venue_PflanzlicheMaterialien;Mat_Venue_Mehrweg;Mat_PromotionAIO_DrucksachenFrischfaserpapier;Mat_PromotionAIO_DrucksachenRecyclingpapier;Mat_MALocal_CrewShirtsWaschen;Mat_Artist_TowelsWaschen;Mat_Besucher_Earplugs_mod;Mat_Besucher_Earplugs;AbfRec_Venue_BetriebsabfaelleKehrichtInKVA;AbfRec_Venue_AllgemeineRecyclingAbfaelle
11;1_Klein_nat;PSS;1300.00;KKL, Luzern;Patent Ochsner;08.03.2022;2100.00;;;;;;;;;;;;0.00;1235.00;;;35470.99;;;14730.91;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;618.00;;;
12;4a_Hasta_int;PSS;11220.00;Hallenstadion, Zürich;James Blunt;09.03.2022;5800.00;2823.75;;;;;;;12033.00;;;;0.00;10659.00;;;453522.42;;;380594.73;36.00;10.00;0.20;72.00;9.00;;0.00;0.00;;;;;93.00;10.00;0.80;744.00;816.00;20.00;0.80;576.00;200.00;1.00;1800.00;;;;10.00;0.20;186.00;2562.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;4.00;600.00;2400.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;2681.58;215.00;;235.62;63.00;;41.51;0.00;;3874.27;36.00;;917.80;0.00;;1725.64;0.00;;2595.19;31.50;;2928.42;13.50;;258.06;45.00;;;;;;;;;;93.00;40.00;5330.00;;;
13;1_Klein_nat;;545.00;Kaufleuten, Zürich;Bastian Baker;09.03.2022;550.00;;;;;;;;;;;;0.00;518.00;;;14870.53;;;6175.65;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;259.00;;;
14;4_Gross_int;PSS;2413.00;THE HALL, Zürich;Amy Macdonald;10.03.2022;2000.00;;;;;;;;;;;;0.00;2292.00;;;87510.33;;;60855.48;;10.00;0.20;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;0.80;;200.00;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;1146.00;;;
15;2_Klein_int;;1050.00;Kaufleuten, Zürich;Metronomy;10.03.2022;550.00;;;;;;;;;;;;0.00;998.00;;;39717.36;;;21551.29;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;499.00;;;
16;1_Klein_nat;;881.00;Westhalle, Langenthal;Heimweh;12.03.2022;;;;;;;;;;;;;0.00;837.00;;;24038.42;;;9983.02;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;419.00;;;
17;4_Gross_int;PSS;5030.00;THE HALL, Zürich;Paul Kalkbrenner;12.03.2022;2000.00;;;;;;;;;;;;0.00;4779.00;;;182418.95;;;126855.81;27.00;10.00;0.20;54.00;4.50;;0.00;0.00;;;;;52.00;10.00;0.80;416.00;470.00;20.00;0.80;432.00;200.00;1.00;900.00;;;;10.00;0.20;104.00;1436.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;2.00;600.00;1200.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;76.50;;;77.00;;;0.00;;;27.00;;;0.00;;;0.00;;;22.05;;;9.45;;;31.50;;;;;;;;;;52.00;80.00;2390.00;;;
18;2_Klein_int;;1037.00;Kaufleuten, Zürich;Caribou ;13.03.2022;550.00;;;;;;;;;;;;0.00;985.00;;;39225.62;;;21284.46;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;493.00;;;
19;1_Klein_nat;PSS;678.00;Kongresshaus, Biel ;Heimweh;13.03.2022;;;;;;;;;;;;;0.00;644.00;;;18499.48;;;7682.73;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;322.00;;;
20;2_Klein_int;PSS;1191.00;Theater 11, Zürich;Kings of Convenience;17.03.2022;1700.00;;;;;;;;;;;;0.00;1131.00;;;45050.84;;;24445.32;5.00;;0.20;0.00;0.00;;0.00;0.00;;;;;0.00;10.00;0.80;0.00;0.00;20.00;0.80;80.00;;1.00;0.00;;;;10.00;0.20;0.00;80.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;0.00;600.00;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;30.00;;;30.00;;;0.00;;;5.00;;;0.00;;;0.00;;;3.50;;;1.50;;;5.00;;;;;;;;;;0.00;12.00;566.00;;;
